pdb,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAmideBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,MQNs_atom_counts_c,MQNs_atom_counts_f,MQNs_atom_counts_cl,MQNs_atom_counts_br,MQNs_atom_counts_i,MQNs_atom_counts_s,MQNs_atom_counts_p,MQNs_atom_counts_an,MQNs_atom_counts_cn,MQNs_atom_counts_ao,MQNs_atom_counts_co,MQNs_atom_counts_hac,MQNs_bond_counts_asb,MQNs_bond_counts_adb,MQNs_bond_counts_atb,MQNs_bond_counts_csb,MQNs_bond_counts_cdb,MQNs_bond_counts_ctb,MQNs_bond_counts_rbc,MQNs_polarity_counts_hbam,MQNs_polarity_counts_hba,MQNs_polarity_counts_hbdm,MQNs_polarity_counts_hbd,MQNs_polarity_counts_negc,MQNs_polarity_counts_posc,MQNs_topology_counts_asv,MQNs_topology_counts_adv,MQNs_topology_counts_atv,MQNs_topology_counts_aqv,MQNs_topology_counts_cdv,MQNs_topology_counts_ctv,MQNs_topology_counts_cqv,MQNs_topology_counts_r3,MQNs_topology_counts_r4,MQNs_topology_counts_r5,MQNs_topology_counts_r6,MQNs_topology_counts_r7,MQNs_topology_counts_r8,MQNs_topology_counts_rg,MQNs_topology_counts_rgIO,MQNs_topology_counts_afrc,MQNs_topology_counts_bfrc
protein,2.108546755959697,2630.093525723765,1.3720059355433085e+17,-0.9405194805194805,7.296253878353931,16.6327236875856,9.81757965407308,69.01614337901555,36.97652239452957,65.19323130837293,32.80789721702106,6.284985053954499,3.6866738745441783,2.1430922997616677,20.29741589149098,11.874955113179258,8.360468709756658,5.882434573013111,4.41082603840746,-3.1872000000000034,134.83260000000007,620.5700000000018,620.3174058043613,40,568.1540000000002,8,14,8,6,15,16,234,2,0,4,4,0,4,4,0,0,0,4,0.92,1,3,154.54,305.19005996546935,0.0,0.0,0.0,0.0,4.887570953256112,0.0,4.988296583192696,10.964167785806339,0.0,0.0,0.0,0.0,6.22790117073487,276.00060046334767,133.26977333837957,0.0,10.619626706576751,0.0,108.38361934678224,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,49.10706724385533,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.86507436940983,0.0,0.0,0.0,0.0,0.0,0.0,9.875867536448808,78.73852068233519,9.589074368143644,0.0,406.75479857485385,36.709571389508525,-9.96672880453886,-3.5115258291049525,-6.3174019825169205,0.0,-75.7798355967341,-32.46711561425834,0.0,-6.838428803876155,25,0,0,0,0,0,0,2,4,2,6,40,63,2,0,24,0,0,16,21,13,3,3,0,4,2,0,2,14,6,8,8,0,1,2,0,0,0,0,1,5,4
protein,1.8911846417166844,2630.0935257237657,7.793841291270143e+18,-0.9405194805194805,7.296253878353931,16.6327236875856,9.81757965407308,69.01614337901555,36.97652239452957,65.19323130837293,32.80789721702106,6.284985053954501,3.68667387454418,2.146315227644568,20.29741589149098,11.874955113179261,8.360468709756661,5.882434573013109,4.348984265756658,-3.1872,134.83260000000007,620.5700000000019,620.3174058043614,40,568.1540000000002,8,14,8,6,15,16,234,2,0,4,4,0,4,4,0,0,0,4,0.92,1,3,154.54,305.1900599654693,5.712741725008318,0.0,0.0,0.0,9.95078867822146,0.0,24.107071287180837,8.224551337021321,11.979893908996825,6.496859684315945,0.0,0.0,0.0,236.59663033559255,133.2697733383796,0.0,10.619626706576751,0.0,108.38361934678223,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,49.10706724385534,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.8650743694098,0.0,0.0,0.0,0.0,0.0,0.0,9.875867536448808,78.7385206823352,9.589074368143644,0.0,403.7617008125914,36.345680359502765,-9.66749169165266,-3.34735144483016,-6.093970688521546,0.0,-73.5779894578526,-32.50606963182969,0.0,-6.3311749240742135,25,0,0,0,0,0,0,2,4,2,6,40,63,2,0,24,0,0,16,21,13,3,3,0,4,2,0,2,14,6,8,8,0,1,2,0,0,0,0,1,5,4
protein,2.223597505378295,2630.0935257237657,6.99350998087305e+18,-0.9405194805194805,7.296253878353931,16.6327236875856,9.81757965407308,69.01614337901555,36.97652239452956,65.19323130837293,32.80789721702106,6.284985053954501,3.6866738745441805,2.146315227644567,20.29741589149098,11.87495511317926,8.360468709756661,5.882434573013109,4.348984265756658,-3.1872000000000016,134.83260000000007,620.5700000000019,620.3174058043614,40,568.1540000000002,8,14,8,6,15,7,234,2,0,4,4,0,4,4,0,0,0,4,0.92,1,3,154.54,305.1900599654693,0.0,0.0,0.0,0.0,4.887570953256112,0.0,4.988296583192696,0.0,0.0,0.0,0.0,0.0,0.0,293.19266941988917,133.2697733383796,0.0,10.619626706576751,0.0,108.38361934678223,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,49.10706724385533,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.8650743694098,0.0,0.0,0.0,0.0,0.0,0.0,9.875867536448808,78.7385206823352,9.589074368143644,0.0,408.8553790148259,36.751846918601295,-10.330222948620499,-3.5270754218158498,-6.294949310070048,0.0,-76.374713295788,-33.803607654747196,0.0,-6.693323969052354,25,0,0,0,0,0,0,1,5,2,6,40,53,2,0,34,0,0,7,21,13,3,3,0,4,2,0,0,7,6,10,15,0,1,2,0,0,0,0,1,7,5
protein,2.2699407909458174,2790.695329980367,2.98847851689276e+20,-0.9405194805194808,7.133322520075343,12.3492427695249,6.357789082945691,68.9243916694794,36.79435963972534,65.19323130837293,32.92990568494919,6.791258878628179,4.1849927707648416,2.8173110206214127,20.29741589149098,12.898526517936403,11.008668945449466,8.668227376325506,7.706547208229216,-3.1872,134.83260000000007,620.570000000002,620.3174058043614,40,568.1540000000002,8,14,8,6,15,7,234,2,0,5,5,0,5,5,0,0,0,5,0.92,1,5,154.54,301.60091602244904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.4793930133179,129.6806293953594,0.0,10.619626706576751,0.0,108.38361934678223,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,45.51792330083514,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,203.41269321898085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.511556976831,20.555142817505402,0.0,431.95406557318387,28.700805888686034,-12.403531765856401,-3.64170325736362,-6.586356833467736,0.0,-82.76532874103745,-36.10758139922913,0.0,-10.817036131582261,25,0,0,0,0,0,0,1,5,2,6,40,53,2,0,35,0,0,7,21,13,3,3,0,4,2,0,0,7,6,10,14,0,0,3,0,0,0,0,2,9,8
protein,2.2235975053782946,2630.093525723765,2.1275102960273564e+16,-0.9405194805194808,7.296253878353931,16.6327236875856,9.81757965407308,69.01614337901555,36.97652239452957,65.19323130837293,32.80789721702105,6.284985053954501,3.6866738745441805,2.1463152276445676,20.29741589149098,11.87495511317926,8.360468709756663,5.882434573013109,4.348984265756657,-3.1872,134.83260000000007,620.5700000000019,620.3174058043613,40,568.1540000000002,8,14,8,6,15,7,234,2,0,4,4,0,4,4,0,0,0,4,0.92,1,3,154.54000000000002,305.1900599654693,0.0,0.0,0.0,0.0,4.887570953256112,0.0,4.988296583192696,0.0,0.0,0.0,0.0,0.0,0.0,293.19266941988917,133.2697733383796,0.0,10.619626706576751,0.0,108.38361934678223,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,49.10706724385533,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.8650743694098,0.0,0.0,0.0,0.0,0.0,0.0,9.875867536448808,78.73852068233518,9.589074368143644,0.0,408.8553790148259,36.751846918601295,-10.330222948620499,-3.5270754218158515,-6.294949310070048,0.0,-76.37471329578803,-33.80360765474719,0.0,-6.693323969052354,25,0,0,0,0,0,0,1,5,2,6,40,53,2,0,34,0,0,7,21,13,3,3,0,4,2,0,0,7,6,10,15,0,1,2,0,0,0,0,1,7,5
protein,2.2235975053782946,2630.093525723765,2.5950327282551046e+17,-0.9405194805194805,7.296253878353931,16.6327236875856,9.81757965407308,69.01614337901555,36.97652239452957,65.19323130837293,32.807897217021065,6.284985053954503,3.6866738745441783,2.146315227644568,20.29741589149098,11.874955113179261,8.36046870975666,5.88243457301311,4.348984265756657,-3.1872,134.8326000000001,620.5700000000019,620.3174058043612,40,568.1540000000002,8,14,8,6,15,7,234,2,0,4,4,0,4,4,0,0,0,4,0.92,1,3,154.54000000000002,305.1900599654693,0.0,0.0,0.0,0.0,4.887570953256112,0.0,4.988296583192696,0.0,0.0,0.0,0.0,0.0,0.0,293.1926694198892,133.26977333837957,0.0,10.619626706576751,0.0,108.38361934678223,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,49.10706724385533,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.8650743694098,0.0,0.0,0.0,0.0,0.0,0.0,9.875867536448808,78.7385206823352,9.589074368143644,0.0,408.855379014826,36.751846918601295,-10.330222948620499,-3.527075421815849,-6.294949310070052,0.0,-76.37471329578801,-33.803607654747196,0.0,-6.693323969052358,25,0,0,0,0,0,0,1,5,2,6,40,53,2,0,34,0,0,7,21,13,3,3,0,4,2,0,0,7,6,10,15,0,1,2,0,0,0,0,1,7,5
protein,2.0217935600743573,2541.4464386317873,2.1630706158326917e+18,-0.9405194805194805,7.464831905218497,20.049739157370443,12.925044556245204,69.22325016020208,37.06230883215646,65.19323130837293,32.68588874909292,6.0144134896763415,3.4422888720092297,1.8035401542953022,20.29741589149098,10.85138370842212,6.684093789871405,4.143638035291275,2.4198402635605913,-3.1872,134.8326000000001,620.5700000000018,620.3174058043612,40,568.1540000000002,8,14,8,6,15,25,234,2,0,3,3,0,3,3,0,0,0,3,0.92,0,0,154.54,308.77920390848954,5.309813353288376,4.794537184071822,0.0,0.0,14.838359631477573,0.0,29.095367870373533,46.65597994682371,2.7415171123404405,6.496859684315945,1.4118420783282006,5.907179729351506,12.45580234146974,176.9504219675167,136.85891728139975,0.0,10.619626706576751,0.0,108.38361934678223,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,52.69621118687552,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,206.31745551983877,0.0,0.0,0.0,0.0,0.0,0.0,19.751735072897617,70.99941593847765,9.589074368143644,0.0,385.5266162331907,44.60366296198232,-8.57959092810829,-3.3301310783552767,-5.999840968736578,0.0,-70.61865460615405,-30.78255761245619,0.0,-1.4861706680292728,25,0,0,0,0,0,0,3,3,2,6,40,73,2,0,13,0,0,25,21,13,3,3,0,4,2,0,4,21,7,6,0,0,2,1,0,0,0,0,0,0,0
protein,1.8911846417166844,2630.093525723765,7.967722814302063e+18,-0.9405194805194805,7.296253878353931,16.6327236875856,9.81757965407308,69.01614337901555,36.97652239452957,65.19323130837293,32.80789721702106,6.284985053954501,3.68667387454418,2.1463152276445685,20.29741589149098,11.874955113179261,8.360468709756663,5.882434573013109,4.348984265756658,-3.1872,134.8326000000001,620.5700000000018,620.3174058043613,40,568.1540000000002,8,14,8,6,15,16,234,2,0,4,4,0,4,4,0,0,0,4,0.92,1,3,154.54,305.1900599654693,5.712741725008318,0.0,0.0,0.0,9.95078867822146,0.0,24.107071287180837,8.224551337021321,11.979893908996825,6.496859684315945,0.0,0.0,0.0,236.59663033559258,133.26977333837957,0.0,10.619626706576751,0.0,108.38361934678223,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,49.10706724385534,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.8650743694098,0.0,0.0,0.0,0.0,0.0,0.0,9.875867536448808,78.7385206823352,9.589074368143644,0.0,403.7617008125914,36.345680359502765,-9.667491691652662,-3.34735144483016,-6.093970688521547,0.0,-73.5779894578526,-32.50606963182969,0.0,-6.3311749240742135,25,0,0,0,0,0,0,2,4,2,6,40,63,2,0,24,0,0,16,21,13,3,3,0,4,2,0,2,14,6,8,8,0,1,2,0,0,0,0,1,5,4
protein,2.223597505378295,2630.093525723765,2.5972599747684694e+17,-0.9405194805194805,7.296253878353931,16.6327236875856,9.81757965407308,69.01614337901555,36.97652239452957,65.19323130837293,32.80789721702106,6.284985053954501,3.6866738745441805,2.146315227644568,20.29741589149098,11.87495511317926,8.360468709756663,5.882434573013109,4.348984265756658,-3.1872,134.8326000000001,620.5700000000018,620.3174058043613,40,568.1540000000002,8,14,8,6,15,7,234,2,0,4,4,0,4,4,0,0,0,4,0.92,1,3,154.54,305.1900599654693,0.0,0.0,0.0,0.0,4.887570953256112,0.0,4.988296583192696,0.0,0.0,0.0,0.0,0.0,0.0,293.19266941988917,133.26977333837957,0.0,10.619626706576751,0.0,108.38361934678223,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,49.10706724385533,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.8650743694098,0.0,0.0,0.0,0.0,0.0,0.0,9.875867536448808,78.7385206823352,9.589074368143644,0.0,408.85537901482587,36.751846918601295,-10.330222948620499,-3.5270754218158498,-6.294949310070049,0.0,-76.37471329578801,-33.803607654747196,0.0,-6.693323969052354,25,0,0,0,0,0,0,1,5,2,6,40,53,2,0,34,0,0,7,21,13,3,3,0,4,2,0,0,7,6,10,15,0,1,2,0,0,0,0,1,7,5
protein,2.108546755959697,2630.093525723765,1.3697618748321686e+17,-0.9405194805194805,7.296253878353931,16.6327236875856,9.81757965407308,69.01614337901555,36.97652239452957,65.19323130837293,32.80789721702106,6.284985053954501,3.686673874544179,2.1430922997616677,20.29741589149098,11.874955113179258,8.360468709756663,5.88243457301311,4.410826038407458,-3.1872,134.8326000000001,620.5700000000018,620.3174058043613,40,568.1540000000002,8,14,8,6,15,16,234,2,0,4,4,0,4,4,0,0,0,4,0.92,1,3,154.54,305.1900599654693,0.0,0.0,0.0,0.0,4.887570953256112,0.0,4.988296583192696,10.964167785806339,0.0,0.0,0.0,0.0,6.22790117073487,276.0006004633476,133.26977333837957,0.0,10.619626706576751,0.0,108.38361934678224,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,49.10706724385533,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.8650743694098,0.0,0.0,0.0,0.0,0.0,0.0,9.875867536448808,78.73852068233519,9.589074368143644,0.0,406.7547985748539,36.709571389508525,-9.96672880453886,-3.5115258291049525,-6.317401982516922,0.0,-75.7798355967341,-32.46711561425833,0.0,-6.838428803876155,25,0,0,0,0,0,0,2,4,2,6,40,63,2,0,24,0,0,16,21,13,3,3,0,4,2,0,2,14,6,8,8,0,1,2,0,0,0,0,1,5,4
protein,2.108546755959697,2630.093525723765,1.447529736547435e+18,-0.9405194805194808,7.296253878353931,16.6327236875856,9.81757965407308,69.01614337901555,36.97652239452957,65.19323130837293,32.80789721702105,6.284985053954501,3.686673874544179,2.1430922997616673,20.29741589149098,11.87495511317926,8.360468709756663,5.88243457301311,4.410826038407458,-3.1872,134.83260000000007,620.5700000000019,620.3174058043613,40,568.1540000000002,8,14,8,6,15,16,234,2,0,4,4,0,4,4,0,0,0,4,0.92,1,3,154.54000000000002,305.1900599654693,0.0,0.0,0.0,0.0,4.887570953256112,0.0,4.988296583192696,10.964167785806339,0.0,0.0,0.0,0.0,6.22790117073487,276.0006004633476,133.2697733383796,0.0,10.619626706576751,0.0,108.38361934678224,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,49.10706724385534,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.8650743694098,0.0,0.0,0.0,0.0,0.0,0.0,9.875867536448808,78.73852068233518,9.589074368143644,0.0,406.7547985748539,36.709571389508525,-9.966728804538858,-3.5115258291049543,-6.31740198251692,0.0,-75.77983559673407,-32.46711561425834,0.0,-6.838428803876155,25,0,0,0,0,0,0,2,4,2,6,40,63,2,0,24,0,0,16,21,13,3,3,0,4,2,0,2,14,6,8,8,0,1,2,0,0,0,0,1,5,4
protein,2.108546755959697,2630.093525723765,1.4475535749636739e+18,-0.9405194805194805,7.296253878353931,16.6327236875856,9.81757965407308,69.01614337901555,36.97652239452957,65.19323130837293,32.80789721702105,6.284985053954499,3.6866738745441783,2.1430922997616677,20.29741589149098,11.87495511317926,8.36046870975666,5.882434573013111,4.41082603840746,-3.1872000000000016,134.83260000000007,620.5700000000019,620.3174058043613,40,568.1540000000001,8,14,8,6,15,16,234,2,0,4,4,0,4,4,0,0,0,4,0.92,1,3,154.54000000000002,305.19005996546935,0.0,0.0,0.0,0.0,4.887570953256112,0.0,4.988296583192696,10.964167785806339,0.0,0.0,0.0,0.0,6.22790117073487,276.00060046334767,133.2697733383796,0.0,10.619626706576751,0.0,108.38361934678224,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,49.10706724385534,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.86507436940983,0.0,0.0,0.0,0.0,0.0,0.0,9.875867536448808,78.73852068233518,9.589074368143644,0.0,406.75479857485385,36.709571389508525,-9.96672880453886,-3.5115258291049543,-6.317401982516918,0.0,-75.77983559673409,-32.46711561425833,0.0,-6.838428803876155,25,0,0,0,0,0,0,2,4,2,6,40,63,2,0,24,0,0,16,21,13,3,3,0,4,2,0,2,14,6,8,8,0,1,2,0,0,0,0,1,5,4
protein,2.5732802595925333,2683.481553897789,5.835613742421225e+17,-0.9405194805194808,7.296253878353931,14.985880515004366,8.553170912762162,69.25625019332895,36.812549640966424,65.23219661340903,32.80505077016984,6.445451910419927,3.814027087516209,2.3607359834327815,20.33638119652708,12.322890134742545,9.517317423768928,7.091578618271194,5.816434306170049,-3.193900000000002,135.53410000000008,621.5780000000018,621.3252308363612,40,568.1540000000002,9,14,8,7,15,7,235,2,0,4,4,0,4,4,0,0,0,4,0.92,1,4,165.54000000000002,303.6144444355438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.4929214264127,131.6941578084541,0.0,10.619626706576751,0.0,108.38361934678224,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,74.68647410158059,42.324198689152546,0.0,145.9010166375565,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.13888379419532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.55771023929567,14.796327392920933,0.0,421.1235081290777,28.54966009200903,-0.6307980306508219,-3.632905924693967,-6.5839392212332735,0.0,-82.34306861718632,-36.089959009837166,0.0,-9.459164084152174,25,0,0,0,0,0,0,1,5,3,5,40,54,2,0,33,0,0,7,21,13,4,4,0,4,3,0,0,7,5,10,14,0,0,2,0,0,0,0,2,7,6
protein,2.269940790945818,2790.695329980367,7.977520048651571e+17,-0.9405194805194805,7.133322520075343,12.3492427695249,6.357789082945691,68.9243916694794,36.79435963972534,65.19323130837293,32.9299056849492,6.791258878628181,4.184992770764841,2.8173110206214145,20.29741589149098,12.898526517936405,11.008668945449466,8.668227376325506,7.706547208229215,-3.1872000000000016,134.83260000000007,620.570000000002,620.3174058043612,40,568.1540000000002,8,14,8,6,15,7,234,2,0,5,5,0,5,5,0,0,0,5,0.92,1,5,154.54,301.60091602244904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.4793930133179,129.68062939535938,0.0,10.619626706576751,0.0,108.38361934678221,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,45.51792330083514,0.0,145.90101663755647,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,203.41269321898085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.51155697683102,20.555142817505402,0.0,431.9540655731839,28.700805888686034,-12.403531765856403,-3.64170325736362,-6.58635683346774,0.0,-82.76532874103744,-36.10758139922913,0.0,-10.817036131582261,25,0,0,0,0,0,0,1,5,2,6,40,53,2,0,35,0,0,7,21,13,3,3,0,4,2,0,0,7,6,10,14,0,0,3,0,0,0,0,2,9,8
protein,1.891184641716685,2630.0935257237657,7.616502823784986e+18,-0.9405194805194808,7.296253878353931,16.6327236875856,9.81757965407308,69.01614337901555,36.97652239452957,65.19323130837293,32.80789721702105,6.284985053954503,3.6866738745441787,2.1463152276445676,20.29741589149098,11.874955113179265,8.360468709756661,5.882434573013111,4.348984265756657,-3.1872000000000016,134.83260000000007,620.5700000000019,620.3174058043613,40,568.1540000000002,8,14,8,6,15,16,234,2,0,4,4,0,4,4,0,0,0,4,0.92,1,3,154.54,305.1900599654693,5.712741725008318,0.0,0.0,0.0,9.95078867822146,0.0,24.107071287180837,8.224551337021321,11.979893908996825,6.496859684315945,0.0,0.0,0.0,236.59663033559255,133.2697733383796,0.0,10.619626706576751,0.0,108.38361934678221,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,49.10706724385533,0.0,145.90101663755647,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.8650743694098,0.0,0.0,0.0,0.0,0.0,0.0,9.875867536448808,78.7385206823352,9.589074368143644,0.0,403.76170081259136,36.34568035950277,-9.667491691652659,-3.3473514448301565,-6.0939706885215426,0.0,-73.5779894578526,-32.50606963182969,0.0,-6.3311749240742135,25,0,0,0,0,0,0,2,4,2,6,40,63,2,0,24,0,0,16,21,13,3,3,0,4,2,0,2,14,6,8,8,0,1,2,0,0,0,0,1,5,4
protein,2.1085467559596975,2630.0935257237657,1.3714033531142947e+17,-0.9405194805194808,7.296253878353931,16.6327236875856,9.81757965407308,69.01614337901555,36.97652239452956,65.19323130837293,32.80789721702105,6.284985053954502,3.68667387454418,2.143092299761667,20.29741589149098,11.874955113179261,8.360468709756661,5.882434573013109,4.410826038407458,-3.1872000000000016,134.83260000000007,620.5700000000019,620.3174058043614,40,568.1540000000002,8,14,8,6,15,16,234,2,0,4,4,0,4,4,0,0,0,4,0.92,1,3,154.54,305.1900599654693,0.0,0.0,0.0,0.0,4.887570953256112,0.0,4.988296583192696,10.964167785806339,0.0,0.0,0.0,0.0,6.22790117073487,276.0006004633476,133.26977333837957,0.0,10.619626706576751,0.0,108.38361934678221,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,49.10706724385533,0.0,145.90101663755647,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,204.8650743694098,0.0,0.0,0.0,0.0,0.0,0.0,9.875867536448808,78.7385206823352,9.589074368143644,0.0,406.7547985748541,36.709571389508525,-9.966728804538857,-3.511525829104956,-6.317401982516917,0.0,-75.77983559673407,-32.46711561425833,0.0,-6.838428803876155,25,0,0,0,0,0,0,2,4,2,6,40,63,2,0,24,0,0,16,21,13,3,3,0,4,2,0,2,14,6,8,8,0,1,2,0,0,0,0,1,5,4
protein,2.269940790945816,2790.695329980368,3.4492292875499065e+20,-0.9405194805194808,7.133322520075343,12.3492427695249,6.357789082945691,68.9243916694794,36.79435963972534,65.19323130837293,32.92990568494919,6.79125887862818,4.184992770764843,2.8173110206214127,20.29741589149098,12.898526517936407,11.008668945449466,8.668227376325504,7.706547208229215,-3.1872,134.83260000000004,620.5700000000019,620.3174058043614,40,568.1540000000002,8,14,8,6,15,7,234,2,0,5,5,0,5,5,0,0,0,5,0.92,1,5,154.54,301.60091602244904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.4793930133179,129.68062939535938,0.0,10.619626706576751,0.0,108.38361934678221,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,45.51792330083514,0.0,145.90101663755647,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,203.41269321898085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.511556976831,20.555142817505402,0.0,431.95406557318387,28.700805888686034,-12.4035317658564,-3.6417032573636208,-6.586356833467734,0.0,-82.76532874103745,-36.10758139922913,0.0,-10.817036131582261,25,0,0,0,0,0,0,1,5,2,6,40,53,2,0,35,0,0,7,21,13,3,3,0,4,2,0,0,7,6,10,14,0,0,3,0,0,0,0,2,9,8
protein,2.2699407909458165,2790.6953299803677,3.392163578065633e+20,-0.9405194805194808,7.133322520075343,12.3492427695249,6.357789082945691,68.9243916694794,36.79435963972535,65.19323130837293,32.929905684949205,6.79125887862818,4.1849927707648416,2.8173110206214127,20.29741589149098,12.898526517936405,11.008668945449466,8.668227376325504,7.706547208229215,-3.1872,134.83260000000007,620.570000000002,620.3174058043614,40,568.1540000000002,8,14,8,6,15,7,234,2,0,5,5,0,5,5,0,0,0,5,0.92,1,5,154.54,301.60091602244904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.4793930133179,129.6806293953594,0.0,10.619626706576751,0.0,108.38361934678223,38.981158105895666,0.0,0.0,0.0,11.814359458703011,31.522021606481115,69.47922107680328,45.51792330083514,0.0,145.90101663755647,0.0,7.059210391641003,0.0,0.0,0.0,0.0,0.0,203.41269321898085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.511556976831,20.555142817505402,0.0,431.95406557318387,28.700805888686034,-12.403531765856401,-3.64170325736362,-6.586356833467734,0.0,-82.76532874103746,-36.10758139922913,0.0,-10.817036131582261,25,0,0,0,0,0,0,1,5,2,6,40,53,2,0,35,0,0,7,21,13,3,3,0,4,2,0,0,7,6,10,14,0,0,3,0,0,0,0,2,9,8
